,Status
0,False
1,True
2,True
3,False
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,False
12,True
13,False
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,False
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,True
33,False
34,False
35,True
36,True
37,True
38,True
39,True
40,True
41,True
42,False
43,True
44,True
45,False
46,True
47,True
48,True
49,False
50,True
51,True
52,True
53,True
54,False
55,True
56,False
57,True
58,True
59,True
60,True
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,False
76,True
77,True
78,True
79,True
80,True
81,True
82,True
83,True
84,True
85,False
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,True
96,True
97,True
98,True
99,False
100,True
101,True
102,False
103,False
104,True
105,False
106,True
107,True
108,False
109,True
110,False
111,False
112,True
113,True
114,True
115,True
116,True
117,True
118,True
119,False
120,True
121,True
122,True
123,True
124,True
125,True
126,True
127,False
128,True
129,True
130,False
131,True
132,True
133,True
134,True
135,True
136,True
137,True
138,True
139,False
140,True
141,True
142,True
143,True
144,True
145,True
146,True
147,True
148,True
149,True
150,True
151,True
152,True
153,True
154,True
155,False
156,True
157,True
158,True
159,True
160,True
161,True
162,False
163,False
164,True
165,True
166,True
167,True
168,False
169,False
170,False
171,True
172,True
173,True
174,True
175,True
176,True
177,False
178,True
179,True
180,False
181,True
182,False
183,True
184,True
185,True
186,True
187,True
188,True
189,False
190,False
191,True
192,True
193,True
194,False
195,False
196,True
197,True
198,True
199,True
200,True
201,True
202,False
203,False
204,True
205,True
206,True
207,False
208,True
209,False
210,True
211,True
212,True
213,True
214,True
215,True
216,True
217,True
218,True
219,True
220,True
221,True
222,True
223,True
224,True
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,True
235,True
236,True
237,True
238,True
239,True
240,True
241,True
242,True
243,True
244,False
245,True
246,True
247,True
248,True
249,True
250,True
251,True
252,True
253,False
254,True
255,True
256,True
257,True
258,True
259,True
260,False
261,True
262,True
263,True
264,True
265,True
266,True
267,False
268,False
269,False
270,True
271,True
272,False
273,True
274,False
275,True
276,True
277,False
278,True
279,True
280,True
281,True
282,True
283,True
284,False
285,False
286,True
287,True
288,True
289,True
290,True
291,True
292,True
293,True
294,True
295,False
296,True
297,True
298,True
299,True
300,True
301,True
302,False
303,True
304,False
305,True
306,True
307,False
308,False
309,True
310,True
311,True
312,True
313,False
314,True
315,True
316,True
317,False
318,True
319,True
320,True
321,False
322,False
323,True
324,True
325,False
326,True
327,False
328,False
329,True
330,True
331,True
332,True
333,False
334,True
335,True
336,True
337,False
338,False
339,True
340,True
341,False
342,True
343,True
344,True
345,True
346,True
347,True
348,True
349,True
350,True
351,True
352,True
353,False
354,True
355,True
356,True
357,True
358,False
359,True
360,True
361,False
362,True
363,True
364,False
365,False
366,True
367,True
368,True
369,True
370,False
371,True
372,True
373,False
374,True
375,True
376,True
377,True
378,True
379,True
380,True
381,False
382,True
383,True
384,True
385,True
386,True
387,True
388,True
389,True
390,True
391,False
392,False
393,True
394,True
395,True
396,True
397,True
398,True
399,False
400,False
401,True
402,True
403,True
404,True
405,True
406,True
407,False
408,False
409,True
410,True
411,True
412,True
413,True
414,True
415,True
416,True
417,True
418,True
419,True
420,True
421,True
422,False
423,True
424,True
425,False
426,True
427,False
428,True
429,False
430,True
431,True
432,True
433,False
434,False
435,True
436,True
437,False
438,False
439,True
440,False
441,True
442,False
443,True
444,False
445,False
446,True
447,True
448,True
449,False
450,True
451,True
452,True
453,False
454,True
455,True
456,False
457,True
458,False
459,True
460,True
461,True
462,True
463,True
464,False
465,False
466,True
467,True
468,True
469,False
470,True
471,False
472,True
473,True
474,True
475,True
476,False
477,True
478,True
479,True
480,True
481,True
482,True
483,False
484,True
485,True
486,True
487,True
488,False
489,True
490,True
491,True
492,True
493,True
494,True
495,True
496,True
497,True
498,True
499,True
500,False
501,True
502,False
503,True
504,True
505,True
506,True
507,False
508,True
509,True
510,True
511,False
512,True
513,True
514,True
515,True
516,False
517,True
518,True
519,True
520,True
521,True
522,True
523,True
524,True
525,False
526,True
527,False
528,True
529,True
530,True
531,False
532,True
533,True
534,False
535,True
536,True
537,True
538,True
539,True
540,True
541,False
542,True
